2346,4,on,off
25.2,933,99.9,62,0
25.3,936,99.9,59,0
25.3,933,99.9,54,0
25.4,931,99.9,50,0
25.4,936,99.9,50,0
25.4,936,99.9,48,0
25.4,932,99.9,49,0
25.5,936,99.9,48,0
25.5,938,99.9,48,0
25.5,940,99.9,47,0
25.5,938,99.9,46,0
25.5,938,99.9,45,0
25.6,934,99.9,35,0
26.4,930,93.7,31,1
25.9,928,92.9,30,0
26.8,927,94.2,30,1
0,928,0,30,1
26.9,928,94.8,29,1
26.9,927,95.7,28,1
26.9,928,95.6,29,1
27,931,97.2,29,1
27,930,95.8,26,1
0,933,0,28,1
27.1,932,96.7,28,1
27.1,932,96.8,28,1
0,932,0,27,1
27.1,932,95.9,26,1
27.1,929,97.7,26,1
27.2,933,97.4,27,1
27.2,932,98.2,27,1
27.1,933,98,27,1
27.1,934,97.6,25,1
27.1,932,98.2,24,1
27.2,932,98.2,24,1
27.2,932,95.7,25,1
27.2,931,97.5,25,1
0,926,0,22,1
27.2,926,99.4,21,1
27.3,927,99,21,1
0,928,0,21,1
27.3,932,98.8,21,1
27.3,928,98.7,22,1
27.3,927,98.8,23,1
27.3,922,99.6,21,1
27.3,919,99.9,15,1
27.3,921,99.9,15,1
27.3,925,99.9,12,1
27.3,919,99.9,10,1
26.8,920,99.9,9,1
26.7,920,99.9,9,1
26.7,921,99.9,9,1
26.7,926,99.9,9,1
26.7,928,99.9,9,1
26.7,927,99.5,9,1
26.6,925,99.9,9,1
26.6,932,99.9,9,1
26.6,930,99.9,9,1
26.6,928,99.6,9,1
26.7,927,99.9,9,1
26.7,927,99.9,8,1
26.6,928,99.9,9,1
26.6,931,99.9,9,1
26.6,931,99.9,9,1
26.6,931,99.9,9,1
0,927,0,9,1
26.6,928,99.9,9,1
26.6,926,99.7,9,1
26.6,928,99.8,9,1
26.4,929,97.9,9,1
26.4,931,99.1,9,1
26.4,925,99.9,9,1
26.4,930,99.9,9,1
26.4,926,99.9,9,1
26.5,927,99.9,9,1
26.5,929,99.9,9,1
26.5,932,99.9,9,1
26.4,927,99.9,54612,1
26.4,931,99.9,54612,1
26.4,932,99.9,54612,1
26.4,925,99.9,54612,1
0,926,0,54612,1
26.4,927,99.9,54612,1
26.3,928,99.9,54612,1
25.1,928,99.9,54612,0
25,930,98.8,54612,0
24.9,929,99.9,54612,0
25,927,99.9,54612,0
0,927,0,54612,1
0,924,0,54612,1
25.2,925,99.9,54612,0
25.2,927,99.9,54612,0
25.2,933,99.9,54612,0
25.2,932,99.9,54612,0
25.2,932,99.9,54612,0
25.3,930,99.9,54612,0
25.3,932,99.9,54612,0
25.3,931,99.8,54612,0
25.4,933,99.6,54612,0
26.9,930,87.4,54612,1
27.6,932,93.2,54612,1
27.8,924,93.2,54612,1
27.8,925,93.4,54612,1
27.9,921,93.4,54612,1
27.9,924,94.1,54612,1
27.9,925,94.8,54612,1
27.9,926,95.7,54612,1
27.9,925,94.8,54612,1
27.9,926,93.3,54612,1
27.9,928,93.9,54612,1
27.7,928,99.9,54612,1
27.4,918,99.1,54612,1
27.2,920,95.4,54612,1
27.1,922,99.9,54612,1
27.1,922,99.9,54612,1
27.1,928,98.7,54612,1
27,928,96.5,54612,1
27,927,97.9,54612,1
27,928,98.8,54612,1
27,929,95.4,54612,1
27,930,96.3,54612,1
27,930,98.7,54612,1
0,931,0,54612,1
27,929,99.8,54612,1
27,926,99.9,54612,1
27,929,97.6,54612,1
27,930,96,54612,1
27,927,98,54612,1
27,927,98.2,54612,1
27,927,99.9,54612,1
27,927,99.2,54612,1
27,926,98.2,54612,1
27,929,99.9,54612,1
0,926,0,54612,1
27,928,99.9,54612,1
27,927,99.9,54612,1
27,928,99.9,54612,1
27,926,98.7,54612,1
27,926,99.9,54612,1
27,927,99.8,54612,1
27,929,99.4,54612,1
27,929,99.9,54612,1
27,926,99.9,54612,1
27,926,99.9,54612,1
26.9,926,99.7,54612,1
26.9,926,99.9,54612,1
25.6,927,99.9,54612,0
25.6,927,99.9,54612,0
25.6,933,99.9,54612,0
25.6,936,99.9,54612,0
0,937,0,54612,1
25.7,924,99.9,54612,0
25.8,930,99.9,54612,0
25.8,927,98.7,54612,0
25.8,931,99.6,54612,0
0,932,0,54612,1
25.8,927,98.5,54612,0
25.8,933,96.7,54612,0
25.8,934,98.8,54612,0
25.9,932,98.6,54612,0
25.9,934,99.9,54612,0
25.9,936,99.9,54612,0
26,933,99.9,54612,1
26,936,98.4,54612,1
0,934,0,54612,1
26.1,934,99.9,54612,1
26.1,936,97.5,54612,1
26.1,938,99.9,54612,1
26.1,937,97.7,54612,1
26.1,934,97.8,54612,1
26.2,938,99.8,54612,1
26.2,938,99.9,54612,1
26.2,937,99.9,54612,1
26.2,936,99.2,54612,1
26.3,936,99.9,54612,1
26.3,931,99.9,54612,1
26.3,934,99.7,54612,1
26.4,937,99.8,54612,1
0,936,0,54612,1
26.4,938,99.9,54612,1
26.4,937,98.7,54612,1
26.4,938,99.9,54612,1
26.5,933,99.5,54612,1
26.8,936,98.8,54612,1
26.9,926,99.9,54612,1
26.9,927,99.9,54612,1
26.9,926,99.8,54612,1
0,926,0,54612,1
27,925,99.3,54612,1
27,926,99.3,54612,1
27.1,927,99,54612,1
27.2,931,98.6,54612,1
27.2,932,98.7,54612,1
27.2,933,99.6,54612,1
27.2,932,97.5,54612,1
27.2,932,98.6,54612,1
27.2,932,97.4,54612,1
27.2,932,98.1,54612,1
27.2,933,97.1,54612,1
27.3,934,96.5,54612,1
27.3,932,95.3,54612,1
27.3,933,96.1,54612,1
0,932,0,54612,1
27.4,936,97.5,54612,1
27.4,934,97,54612,1
27.4,930,98.9,54612,1
27.4,932,99.4,54612,1
27.5,931,99.1,54612,1
27.5,928,99.7,54612,1
27.5,927,98.9,54612,1
27.5,931,99.5,54612,1
27.6,929,99.6,54612,1
27.6,931,99.1,54612,1
27.6,931,98.9,54612,1
27.6,931,98.8,54612,1
27.6,932,97.6,54612,1
27.6,931,98.1,54612,1
27.7,930,97.5,54612,1
